bp_name_raw,bp_url,bp_name,_merge
"James Blake (L)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/James_BlakeAL.png,James Blake,left_only
"Jared Budlong (Independent) (Write-in) 
",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/JaredBudlong.jpg,Jared Budlong,left_only
Bruce Walden ,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/BruceWalden.jpeg,Bruce Walden,left_only
"Liana West (G) (Write-in) 
",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Liana_West.PNG,Liana West,left_only
"Mikaela Lutes-Burton (L) (Write-in)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/William_Pounds1.jpeg,Mikaela Lutes-Burton,left_only
"William Pounds (Independent-Green Party) (Write-in) 
",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Katie-Hobbs.PNG,William Pounds,left_only
"Ricky Dale Harrington Jr. (L) 
",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/harrington.jpg,Ricky Dale Harrington Jr.,left_only
"Elvis Presley (Independent) (Write-in)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Elvis_D._Presley.jpg,Elvis Presley,left_only
"Dan Nelson (Independent) (Write-in)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Dan_NelsonAR.jpeg,Dan Nelson,left_only
"Jenny Rae Le Roux (R)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Jenny_Rae_Le_Roux.jpg,Jenny Rae Le Roux,left_only
"Kevin Ruskusky (L) 
",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/KevinRuskusky2022.jpg,Kevin Ruskusky,left_only
"Danielle Neuschwanger (American Constitution Party) 
",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/DanielleNeuschwanger.jpg,Danielle Neuschwanger,left_only
"Paul Fiorino (Unity Party)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/PaulFiorino.jpg,Paul Fiorino,left_only
"Robert Hotaling (Independent Party) 
",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Robert_Hotaling.JPG,Robert Hotaling,left_only
"Michelle Louise Bicking (Independent) (Write-in) 
",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Michelle_L_B.JPG,Michelle Louise Bicking,left_only
"Susan Bysiewicz (D / Working Families Party / Griebel Frank for CT Party)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Susan-Bysiewicz.jpg,Susan Bysiewicz,left_only
"Carmen Gimenez (No Party Affiliation)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/CarmenGimenez.jpeg,Carmen Gimenez,left_only
"Hector Roos (L)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Hector-Roos.PNG,Hector Roos,left_only
"David Byrne (Independent) (Write-in)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Stacey_Abrams.jpg,David Byrne,left_only
"Milton Lofton (Independent) (Write-in)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/BrianKemp.jpg,Milton Lofton,left_only
"Vicky Cayetano
",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Vicky_Cayetano.jpeg,Vicky Cayetano,left_only
"Kaiali'i Kahele
",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Kai-Kahele.PNG,Kaiali'i Kahele,left_only
"Ammon Bundy (Independent)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/AmmonBundy2.jpg,Ammon Bundy,left_only
"Paul Sand (L) 
",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/PaulSand.jpg,Paul Sand,left_only
"Chantyrose Davison (Constitution Party) 
",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/ChantyroseDavison.jpg,Chantyrose Davison,left_only
"Scott Mitchell Schluter (L)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/ScottMitchellSchluter.jpg,Scott Mitchell Schluter,left_only
"Shon-Tiyon Horton (Independent) (Write-in) 
",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Shon-tiyon_Horton.jpg,Shon-Tiyon Horton,left_only
"Elizabeth Sebesta (Independent) (Write-in)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/JB_Pritzker.jpg,Elizabeth Sebesta,left_only
"Rick Stewart (L) 
",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Rick_Stewart__.jpg,Rick Stewart,left_only
Other/Write-in votes,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Kim_Reynolds_2013.jpg,Other/Write-in votes,left_only
"Dennis Pyle (Independent)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Dennis_Pyle.jpg,Dennis Pyle,left_only
"Seth Cordell (L)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Cordellseth.jpg,Seth Cordell,left_only
"David Lashar (L) 
",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/David_Lashar.png,David Lashar,left_only
"David Harding (Working Class Party)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/DavidHarding.png,David Harding,left_only
"Nancy Wallace (G) 
",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Nancy-Wallace.PNG,Nancy Wallace,left_only
"Kevin Reed (L)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/KevinReed.JPG,Kevin Reed,left_only
"Sonia Chang-Diaz (Unofficially withdrew)
",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Sonia-Chang-Diaz.jpg,Sonia Chang-Diaz,left_only
"Mary Buzuma (L) 
",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Mary_Buzuma1.png,Mary Buzuma,left_only
"Donna Brandenburg (U.S. Taxpayers Party)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Donna_Brandenburg.jpg,Donna Brandenburg,left_only
"Kevin Hogan (G) 
",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/khogan.jpg,Kevin Hogan,left_only
"James McCaskel (Legal Marijuana Now Party)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Steve-Patterson.PNG,James McCaskel,left_only
"Steve Patterson (Grassroots-Legalize Cannabis Party of Minnesota)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Hugh_McTavish.jpg,Steve Patterson,left_only
"Hugh McTavish (Independence-Alliance Party of Minnesota) 
",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Joyce_Lacey.jpg,Hugh McTavish,left_only
"Scott Zimmerman (L)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Scott-Zimmerman.PNG,Scott Zimmerman,left_only
"Dave Wright (Independent) (Write-in)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Robert_Borer.jpg,Dave Wright,left_only
"Robert Borer (Independent) (Write-in)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Carol_Blood_portrait.jpg,Robert Borer,left_only
"Brandon Davis (L) 
",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Brandon_Davis.jpg,Brandon Davis,left_only
"Edward Bridges II (Independent American Party)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/EdBridges.PNG,Edward Bridges II,left_only
"Kelly Halldorson (L)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Kelly_Halldorson3.jpeg,Kelly Halldorson,left_only
"Karlyn Borysenko (L)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/KarlynBorysenko.jpeg,Karlyn Borysenko,left_only
"Karen Bedonie (L)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Karen-Bedonie.PNG,Karen Bedonie,left_only
"Jumaane Williams
",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Jumaane_Williams.png,Jumaane Williams,left_only
"Tom Suozzi
",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Tom_Suozzi.jpg,Tom Suozzi,left_only
"Tim Grady (Independent) (Write-in) 
",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/TimothyGrady.png,Tim Grady,left_only
"Marshall Usher (Independent) (Write-in)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Marshall-Usher.PNG,Marshall Usher,left_only
"Craig Patton (Independent) (Write-in)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Renea-Turner.PNG,Craig Patton,left_only
"Donice Smith (Constitution Party)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Donice_Smith.png,Donice Smith,left_only
"R. Leon Noble (L) 
",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/RLeonNoble.png,R. Leon Noble,left_only
"Matt Hackenburg (L) 
",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Matt_Hackenburg.jpg,Matt Hackenburg,left_only
"Christina Digiulio (G) 
",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/ChristinaDigiulio.jpeg,Christina Digiulio,left_only
"Joseph Soloski (Keystone Party of Pennsylvania) 
",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/JosephSoloski.jpg,Joseph Soloski,left_only
"Zachary Baker Hurwitz (Independent) 
",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/ZacharyHurwitz.jpeg,Zachary Baker Hurwitz,left_only
"Paul Rianna Jr. (Independent)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/PaulRiannaJr..jpeg,Paul Rianna Jr.,left_only
"Elijah Gizzarelli (L) 
",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Elijah_Gizzarelli.jpg,Elijah Gizzarelli,left_only
"Morgan Bruce Reeves (L)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Morgan-Bruce-Reeves.PNG,Morgan Bruce Reeves,left_only
"Mia McLeod
",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/_Mia-McLeod_.jpg,Mia McLeod,left_only
"Tracey Quint (L)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Tracey_Quint.jpeg,Tracey Quint,left_only
"Steven Haugaard
",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Steven_Haugaard.jpg,Steven Haugaard,left_only
"John Gentry (Independent) 
",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/John-Gentry.PNG,John Gentry,left_only
"Constance Every (Independent) 
",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Constance-Every.PNG,Constance Every,left_only
"Deborah Rouse (Independent)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/DebbieRouse.jpeg,Deborah Rouse,left_only
"Mark Tippetts (L) 
",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Mark-Tippetts.png,Mark Tippetts,left_only
"Delilah Barrios (G)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Delilah_Barrios-GP_texas_-_Copy.jpg,Delilah Barrios,left_only
"Jacqueline Abernathy (Independent) (Write-in) 
",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/jabernathy.jpg,Jacqueline Abernathy,left_only
"Joan Ellis Beglinger (Independent) (Unofficially withdrew)
",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Screen_Shot_2021-04-30_at_4.31.04_PM.png,Joan Ellis Beglinger,left_only
"Seth Haskin (Independent) (Write-in)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/SethHaskin.jpg,Seth Haskin,left_only
"Jared Baldes (L)  
											",https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/100/100/Theresa_Livingston.jpeg,Jared Baldes,left_only
