wmpid,face_url,face_category
WMPID1456,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Alex_Padilla_117th_Congress_portrait.jpg/220px-Alex_Padilla_117th_Congress_portrait.jpg,SitSen
WMPID1512,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Amy_Klobuchar%2C_official_portrait%2C_113th_Congress.jpg/220px-Amy_Klobuchar%2C_official_portrait%2C_113th_Congress.jpg,SitSen
WMPID1461,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Angus_King%2C_official_portrait%2C_113th_Congress.jpg/220px-Angus_King%2C_official_portrait%2C_113th_Congress.jpg,SitSen
WMPID1412,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Ben_Ray_Lujan%2C_117th_Congress_portrait_2.jpg/220px-Ben_Ray_Lujan%2C_117th_Congress_portrait_2.jpg,SitSen
WMPID1487,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Ben_Sasse_official_portrait_%28cropped2%29.jpg/220px-Ben_Sasse_official_portrait_%28cropped2%29.jpg,SitSen
WMPID1509,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Ben_Cardin_official_Senate_portrait.jpg/220px-Ben_Cardin_official_Senate_portrait.jpg,SitSen
WMPID1499,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Bernie_Sanders_in_March_2020.jpg/220px-Bernie_Sanders_in_March_2020.jpg,SitSen
WMPID1482,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Bill_Cassidy_official_Senate_photo.jpg/220px-Bill_Cassidy_official_Senate_photo.jpg,SitSen
WMPID1428,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Sen._Bill_Hagerty_official_Senate_portrait%2C_117th_Congress.jpg/220px-Sen._Bill_Hagerty_official_Senate_portrait%2C_117th_Congress.jpg,SitSen
WMPID1478,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Brian_Schatz%2C_official_portrait%2C_113th_Congress_2.jpg/220px-Brian_Schatz%2C_official_portrait%2C_113th_Congress_2.jpg,SitSen
WMPID1516,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Catherine_Cortez_Masto_portrait_red.jpg/220px-Catherine_Cortez_Masto_portrait_red.jpg,SitSen
WMPID1547,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Chuck_Schumer_official_photo.jpg/220px-Chuck_Schumer_official_photo.jpg,SitSen
WMPID1316,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Chris_Coons%2C_official_portrait%2C_112th_Congress.jpg/220px-Chris_Coons%2C_official_portrait%2C_112th_Congress.jpg,SitSen
WMPID1510,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Chris_Van_Hollen_official_portrait_115th_Congress.jpg/220px-Chris_Van_Hollen_official_portrait_115th_Congress.jpg,SitSen
WMPID1457,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Chris_Murphy%2C_official_portrait%2C_113th_Congress_%28cropped%29.jpg/220px-Chris_Murphy%2C_official_portrait%2C_113th_Congress_%28cropped%29.jpg,SitSen
WMPID1342,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Chuck_Grassley_official_photo_2017.jpg/220px-Chuck_Grassley_official_photo_2017.jpg,SitSen
WMPID1542,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Official_headshot_of_US_Senator_Cindy_Hyde-Smith.jpg/220px-Official_headshot_of_US_Senator_Cindy_Hyde-Smith.jpg,SitSen
WMPID1490,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Cory_Booker%2C_official_portrait%2C_114th_Congress.jpg/220px-Cory_Booker%2C_official_portrait%2C_114th_Congress.jpg,SitSen
WMPID1454,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Cynthia_Lummis_U.S._Senator.jpg/220px-Cynthia_Lummis_U.S._Senator.jpg,SitSen
WMPID1472,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Dan_Sullivan_in_2021.jpg/220px-Dan_Sullivan_in_2021.jpg,SitSen
WMPID1463,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Deb_Fischer%2C_official_portrait%2C_115th_Congress.jpg/220px-Deb_Fischer%2C_official_portrait%2C_115th_Congress.jpg,SitSen
WMPID1536,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Debbie_Stabenow%2C_official_photo%2C_116th_Congress.jpg/220px-Debbie_Stabenow%2C_official_photo%2C_116th_Congress.jpg,SitSen
WMPID1304,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Dianne_Feinstein%2C_official_Senate_photo_2.jpg/220px-Dianne_Feinstein%2C_official_Senate_photo_2.jpg,SitSen
WMPID1503,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Dick_Durbin_117th_Congress_portrait_%281%29_%28cropped%29.jpeg/220px-Dick_Durbin_117th_Congress_portrait_%281%29_%28cropped%29.jpeg,SitSen
WMPID1483,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Edward_Markey%2C_official_portrait%2C_114th_Congress.jpg/220px-Edward_Markey%2C_official_portrait%2C_114th_Congress.jpg,SitSen
WMPID1460,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Elizabeth_Warren%2C_official_portrait%2C_114th_Congress.jpg/220px-Elizabeth_Warren%2C_official_portrait%2C_114th_Congress.jpg,SitSen
WMPID1484,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Gary_Peters_official_photo_115th_congress.jpg/220px-Gary_Peters_official_photo_115th_congress.jpg,SitSen
WMPID1521,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Senator_Jack_Reed_official_photo.jpg/220px-Senator_Jack_Reed_official_photo.jpg,SitSen
WMPID1546,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Jacky_Rosen%2C_official_portrait%2C_116th_congress.jpg/220px-Jacky_Rosen%2C_official_portrait%2C_116th_congress.jpg,SitSen
WMPID1532,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Jim_Risch_official_portrait.jpg/220px-Jim_Risch_official_portrait.jpg,SitSen
WMPID1492,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/James_Lankford_official_Senate_photo.jpg/220px-James_Lankford_official_Senate_photo.jpg,SitSen
WMPID1491,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Jim_Inhofe_official_portrait.jpg/220px-Jim_Inhofe_official_portrait.jpg,SitSen
WMPID1401,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Shaheen_Senate_Portrait.jpg/220px-Shaheen_Senate_Portrait.jpg,SitSen
WMPID1548,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Jeff_Merkley%2C_115th_official_photo.jpg/220px-Jeff_Merkley%2C_115th_official_photo.jpg,SitSen
WMPID1352,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Jerry_Moran%2C_official_portrait%2C_112th_Congress.jpg/220px-Jerry_Moran%2C_official_portrait%2C_112th_Congress.jpg,SitSen
WMPID1451,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Senator_Manchin.jpg/220px-Senator_Manchin.jpg,SitSen
WMPID1525,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/John_Barrasso_official_portrait_112th_Congress.jpg/220px-John_Barrasso_official_portrait_112th_Congress.jpg,SitSen
WMPID1299,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Senator_John_Boozman_Official_Portrait_%28115th_Congress%29.jpg/220px-Senator_John_Boozman_Official_Portrait_%28115th_Congress%29.jpg,SitSen
WMPID1466,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/John_Cornyn_official_senate_portrait.jpg/220px-John_Cornyn_official_senate_portrait.jpg,SitSen
WMPID1307,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/John_Hickenlooper%2C_official_portrait%2C_117th_Congress.jpeg/220px-John_Hickenlooper%2C_official_portrait%2C_117th_Congress.jpeg,SitSen
WMPID1399,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Hoeven_Official_Portrait_2014.JPG/220px-Hoeven_Official_Portrait_2014.JPG,SitSen
WMPID1481,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/John_Kennedy%2C_official_portrait%2C_115th_Congress.jpg/220px-John_Kennedy%2C_official_portrait%2C_115th_Congress.jpg,SitSen
WMPID1465,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/John_Thune_117th_Congress_portrait.jpg/220px-John_Thune_117th_Congress_portrait.jpg,SitSen
WMPID1530,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Jon_Ossoff_Senate_Portrait_2021.jpg/220px-Jon_Ossoff_Senate_Portrait_2021.jpg,SitSen
WMPID1513,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/JonTester.jpg/220px-JonTester.jpg,SitSen
WMPID1479,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Joni_Ernst%2C_official_portrait%2C_116th_Congress_3.jpg/220px-Joni_Ernst%2C_official_portrait%2C_116th_Congress_3.jpg,SitSen
WMPID1540,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Josh_Hawley%2C_official_portrait%2C_116th_congress.jpg/220px-Josh_Hawley%2C_official_portrait%2C_116th_congress.jpg,SitSen
WMPID1544,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Kevin_Cramer%2C_official_portrait%2C_116th_congress_2.jpg/220px-Kevin_Cramer%2C_official_portrait%2C_116th_congress_2.jpg,SitSen
WMPID1415,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Kirsten_Gillibrand%2C_official_photo%2C_116th_Congress.jpg/220px-Kirsten_Gillibrand%2C_official_photo%2C_116th_Congress.jpg,SitSen
WMPID1526,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Kyrsten_Sinema_%28cropped%29.jpg/220px-Kyrsten_Sinema_%28cropped%29.jpg,SitSen
WMPID1422,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/U.S._Senator_Lindsey_Graham%2C_Official_Photo%2C_113th_Congress.jpg/220px-U.S._Senator_Lindsey_Graham%2C_Official_Photo%2C_113th_Congress.jpg,SitSen
WMPID1471,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Lisa_Murkowski_official_photo.jpg/220px-Lisa_Murkowski_official_photo.jpg,SitSen
WMPID1321,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Senator_Rubio_official_portrait.jpg/220px-Senator_Rubio_official_portrait.jpg,SitSen
WMPID1514,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Maggie_Hassan%2C_official_portrait%2C_115th_Congress.jpg/220px-Maggie_Hassan%2C_official_portrait%2C_115th_Congress.jpg,SitSen
WMPID1551,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Maria_Cantwell.jpg/220px-Maria_Cantwell.jpg,SitSen
WMPID1302,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Mark_Kelly%2C_Official_Portrait_117th.jpg/220px-Mark_Kelly%2C_Official_Portrait_117th.jpg,SitSen
WMPID1524,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Mark_Warner%2C_official_112th_Congress_Senate_portrait.jpg/220px-Mark_Warner%2C_official_112th_Congress_Senate_portrait.jpg,SitSen
WMPID1549,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Sen._Marsha_Blackburn_%28R-TN%29_official_headshot_-_116th_Congress.jpg/220px-Sen._Marsha_Blackburn_%28R-TN%29_official_headshot_-_116th_Congress.jpg,SitSen
WMPID1464,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Heinrich_Official_Headshot_2019.jpg/220px-Heinrich_Official_Headshot_2019.jpg,SitSen
WMPID1458,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Mazie_Hirono%2C_official_portrait%2C_113th_Congress.jpg/220px-Mazie_Hirono%2C_official_portrait%2C_113th_Congress.jpg,SitSen
WMPID1305,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Senator_Mike_Bennett.jpg/220px-Senator_Mike_Bennett.jpg,SitSen
WMPID1533,https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Mike_Braun%2C_Official_Portrait%2C_116th_Congress.jpg/220px-Mike_Braun%2C_Official_Portrait%2C_116th_Congress.jpg,SitSen
WMPID1531,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Mike_Crapo_2019_%28looser_crop%29.jpg/220px-Mike_Crapo_2019_%28looser_crop%29.jpg,SitSen
WMPID1445,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Mike_Lee%2C_official_portrait.jpg/220px-Mike_Lee%2C_official_portrait.jpg,SitSen
WMPID1496,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Mike_Rounds_official_Senate_portrait.jpg/220px-Mike_Rounds_official_Senate_portrait.jpg,SitSen
WMPID1459,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Mitch_McConnell_2016_official_photo_%281%29.jpg/220px-Mitch_McConnell_2016_official_photo_%281%29.jpg,SitSen
WMPID1550,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Mitt_Romney_official_US_Senate_portrait.jpg/220px-Mitt_Romney_official_US_Senate_portrait.jpg,SitSen
WMPID1498,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Patrick_Leahy_117th_Congress.jpeg/220px-Patrick_Leahy_117th_Congress.jpeg,SitSen
WMPID1494,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Pat_Toomey_official_photo.jpg/220px-Pat_Toomey_official_photo.jpg,SitSen
WMPID1469,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Patty_Murray%2C_official_portrait%2C_113th_Congress.jpg/220px-Patty_Murray%2C_official_portrait%2C_113th_Congress.jpg,SitSen
WMPID1357,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Rand_Paul%2C_official_portrait%2C_112th_Congress_alternate.jpg/220px-Rand_Paul%2C_official_portrait%2C_112th_Congress_alternate.jpg,SitSen
WMPID1330,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Raphael_Warnock_official_photo.jpg/220px-Raphael_Warnock_official_photo.jpg,SitSen
WMPID1315,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Richard_Blumenthal_Official_Portrait.jpg/220px-Richard_Blumenthal_Official_Portrait.jpg,SitSen
WMPID1485,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Richard_Burr_official_portrait.jpg/220px-Richard_Burr_official_portrait.jpg,SitSen
WMPID1501,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Richard_Shelby%2C_official_portrait%2C_112th_Congress.jpg/220px-Richard_Shelby%2C_official_portrait%2C_112th_Congress.jpg,SitSen
WMPID1529,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Official_Portrait_of_Senator_Rick_Scott_%28R-FL%29.jpg/220px-Official_Portrait_of_Senator_Rick_Scott_%28R-FL%29.jpg,SitSen
WMPID1416,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Rob_Portman_official_portrait.jpg/220px-Rob_Portman_official_portrait.jpg,SitSen
WMPID1520,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Bob_Casey_Jr._official_photo.jpg/220px-Bob_Casey_Jr._official_photo.jpg,SitSen
WMPID1515,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Senator_Bob_Menendez_%282022%29.jpg/220px-Senator_Bob_Menendez_%282022%29.jpg,SitSen
WMPID1354,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Roger_Marshall_117th_Congress_portrait.jpg/220px-Roger_Marshall_117th_Congress_portrait.jpg,SitSen
WMPID1541,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Roger_Wicker_Portrait_2018_full.jpg/220px-Roger_Wicker_Portrait_2018_full.jpg,SitSen
WMPID1450,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Ron_Johnson_portrait_117th_Congress.jpg/220px-Ron_Johnson_portrait_117th_Congress.jpg,SitSen
WMPID1519,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Ron_Wyden_117th_Congress.jpeg/220px-Ron_Wyden_117th_Congress.jpeg,SitSen
WMPID1389,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Roy_Blunt%2C_Official_Portrait%2C_112th_Congress.jpg/220px-Roy_Blunt%2C_Official_Portrait%2C_112th_Congress.jpg,SitSen
WMPID1522,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Sheldon_Whitehouse%2C_official_portrait%2C_116th_congress.jpg/220px-Sheldon_Whitehouse%2C_official_portrait%2C_116th_congress.jpg,SitSen
WMPID1500,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Shelley_Moore_Capito_official_Senate_photo.jpg/220px-Shelley_Moore_Capito_official_Senate_photo.jpg,SitSen
WMPID1517,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Sherrod_Brown_117th_Congress_%282%29.jpg/220px-Sherrod_Brown_117th_Congress_%282%29.jpg,SitSen
WMPID1462,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Steve_Daines%2C_Official_Portrait%2C_116th_Congress.jpg/220px-Steve_Daines%2C_Official_Portrait%2C_116th_Congress.jpg,SitSen
WMPID1511,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Senator_Susan_Collins_2014_official_portrait_%28half-body_crop%29.jpg/220px-Senator_Susan_Collins_2014_official_portrait_%28half-body_crop%29.jpg,SitSen
WMPID1470,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Tammy_Baldwin%2C_official_portrait%2C_113th_Congress.jpg/220px-Tammy_Baldwin%2C_official_portrait%2C_113th_Congress.jpg,SitSen
WMPID1504,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Tammy_Duckworth%2C_official_portrait%2C_115th_Congress.jpg/220px-Tammy_Duckworth%2C_official_portrait%2C_115th_Congress.jpg,SitSen
WMPID1467,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Ted_Cruz_official_116th_portrait.jpg/220px-Ted_Cruz_official_116th_portrait.jpg,SitSen
WMPID1486,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Sen._Thom_Tillis_official_photo.jpg/220px-Sen._Thom_Tillis_official_photo.jpg,SitSen
WMPID1528,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Tom_Carper%2C_official_portrait%2C_112th_Congress.jpg/220px-Tom_Carper%2C_official_portrait%2C_112th_Congress.jpg,SitSen
WMPID1468,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Tim_Kaine_116th_official_portrait.jpg/220px-Tim_Kaine_116th_official_portrait.jpg,SitSen
WMPID1495,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Tim_Scott%2C_official_portrait%2C_113th_Congress.jpg/220px-Tim_Scott%2C_official_portrait%2C_113th_Congress.jpg,SitSen
WMPID1539,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Tina_Smith%2C_official_portrait%2C_116th_congress.jpg/220px-Tina_Smith%2C_official_portrait%2C_116th_congress.jpg,SitSen
WMPID1505,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Sen._Todd_Young_official_photo.jpg/220px-Sen._Todd_Young_official_photo.jpg,SitSen
WMPID1473,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Tom_Cotton_official_Senate_photo.jpg/220px-Tom_Cotton_official_Senate_photo.jpg,SitSen
WMPID1296,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Tommy_Tuberville_official_portrait.jpg/220px-Tommy_Tuberville_official_portrait.jpg,SitSen
